date,amfi_code,nav,daily_return_pct
2022-01-02,100016,512.1124,0.0
2022-01-03,100016,503.1674,-1.7466868601502261
2022-01-04,100016,531.285,5.5881203750481445
2022-01-05,100016,531.285,0.0
2022-01-06,100016,474.1732,-10.749748251879865
2022-01-07,100016,452.584,-4.553019867002184
2022-01-08,100016,433.0211,-4.322490410619906
2022-01-09,100016,424.3603,-2.000087293667674
2022-01-10,100016,424.3603,0.0
2022-01-11,100016,448.4277,5.671454186454294
2022-01-12,100016,482.4201,7.5803524180152015
2022-01-13,100016,482.4201,0.0
2022-01-14,100016,482.4201,0.0
2022-01-15,100016,482.4201,0.0
2022-01-16,100016,482.4201,0.0
2022-01-17,100016,482.4201,0.0
2022-01-18,100016,482.4201,0.0
2022-01-19,100016,482.4201,0.0
2022-01-20,100016,482.4201,0.0
2022-01-21,100016,482.4201,0.0
2022-01-22,100016,482.4201,0.0
2022-01-23,100016,482.4201,0.0
2022-01-24,100016,482.4201,0.0
2022-01-25,100016,482.4201,0.0
2022-01-26,100016,482.4201,0.0
2022-01-27,100016,482.4201,0.0
2022-01-28,100016,482.4201,0.0
2022-01-29,100016,482.4201,0.0
2022-01-30,100016,482.4201,0.0
2022-01-31,100016,482.4201,0.0
2022-02-01,100016,482.4201,0.0
2022-02-02,100016,515.5386,6.865074651740244
2022-02-03,100016,504.7495,-2.092782189345277
2022-02-04,100016,504.7495,0.0
2022-02-05,100016,524.0515,3.824075110525116
2022-02-06,100016,473.1602,-9.711125719514213
2022-02-07,100016,473.1602,0.0
2022-02-08,100016,423.7137,-10.450266104376482
2022-02-09,100016,418.068,-1.3324327252104529
2022-02-10,100016,418.068,0.0
2022-02-11,100016,453.5279,8.481849842609336
2022-02-12,100016,480.9949,6.056297749267459
2022-02-13,100016,480.9949,0.0
2022-02-14,100016,480.9949,0.0
2022-02-15,100016,480.9949,0.0
2022-02-16,100016,480.9949,0.0
2022-02-17,100016,480.9949,0.0
2022-02-18,100016,480.9949,0.0
2022-02-19,100016,480.9949,0.0
2022-02-20,100016,480.9949,0.0
2022-02-21,100016,480.9949,0.0
2022-02-22,100016,480.9949,0.0
2022-02-23,100016,480.9949,0.0
2022-02-24,100016,480.9949,0.0
2022-02-25,100016,480.9949,0.0
2022-02-26,100016,480.9949,0.0
2022-02-27,100016,480.9949,0.0
2022-02-28,100016,480.9949,0.0
